dateCrawled,name,seller,offerType,price,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
2016-03-22 17:45:41,Mercedes_Benz_C_180_T_Kompressor_Avantgarde,privat,Angebot,7999,kombi,2008,manuell,156,c_klasse,150000,10,benzin,mercedes_benz,nein,2016-03-22 00:00:00,0,83355,2016-03-25 09:47:43
2016-03-23 18:59:37,Mercedes_Benz_C_220_T_CDI_Avantgarde,privat,Angebot,3300,kombi,2005,manuell,150,c_klasse,150000,9,diesel,mercedes_benz,ja,2016-03-23 00:00:00,0,29221,2016-03-23 18:59:37
2016-03-26 07:36:20,verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift,privat,Angebot,900,kombi,1999,manuell,125,c_klasse,150000,7,diesel,mercedes_benz,nein,2016-03-26 00:00:00,0,37130,2016-03-29 11:44:47
2016-03-21 16:45:30,Mercedes_Benz_C_220_CDI_DPF_Automatik_Avantgarde,privat,Angebot,14499,limousine,2007,automatik,170,c_klasse,125000,5,diesel,mercedes_benz,nein,2016-03-21 00:00:00,0,13439,2016-04-06 15:45:36
2016-04-01 15:53:08,Mercedes_Benz_C180_mit_TÜV,privat,Angebot,350,limousine,1996,manuell,122,c_klasse,150000,9,benzin,mercedes_benz,"",2016-04-01 00:00:00,0,49685,2016-04-05 10:48:41
2016-03-22 10:50:53,Mercedes_C_200_Kompressor,privat,Angebot,2300,limousine,2000,manuell,160,c_klasse,150000,5,benzin,mercedes_benz,nein,2016-03-22 00:00:00,0,40231,2016-03-22 11:41:11
2016-03-10 16:57:31,Mercedes_Benz_C_270_CDI_Elegance,privat,Angebot,6890,limousine,2003,manuell,170,c_klasse,125000,2,diesel,mercedes_benz,nein,2016-03-10 00:00:00,0,55743,2016-04-01 20:47:57
2016-03-16 11:46:23,Mercedes_Benz_CDI_Kombi_Elegance,privat,Angebot,4650,kombi,2005,automatik,150,c_klasse,150000,8,diesel,mercedes_benz,"",2016-03-16 00:00:00,0,12109,2016-03-20 09:44:22
2016-03-14 15:56:43,Mercedes_Benz_C_200_T_CDI_Avantgarde_DPF,privat,Angebot,5499,kombi,2004,manuell,122,c_klasse,150000,9,diesel,mercedes_benz,nein,2016-03-14 00:00:00,0,60318,2016-03-17 07:17:11
2016-03-09 15:50:39,Mercedes__C220__CDI,privat,Angebot,1450,limousine,1999,manuell,0,c_klasse,5000,8,"",mercedes_benz,nein,2016-03-09 00:00:00,0,39120,2016-03-10 01:17:06
2016-03-15 19:58:30,Mercedes_Benz_C_220_T_CDI_Elegance,privat,Angebot,2500,kombi,2001,automatik,150,c_klasse,150000,11,diesel,mercedes_benz,nein,2016-03-15 00:00:00,0,22549,2016-04-04 23:18:49
2016-03-31 14:53:55,Mercedes_Benz_E220CDI_Kombi_Automatik,privat,Angebot,1200,kombi,1999,automatik,125,c_klasse,150000,2,diesel,mercedes_benz,nein,2016-03-31 00:00:00,0,53123,2016-04-06 08:17:03
2016-03-25 17:52:18,Mercedes_Benz_C_180_T_Kompressor_Automatik_Elegance,privat,Angebot,7600,kombi,2004,automatik,143,c_klasse,150000,12,benzin,mercedes_benz,nein,2016-03-25 00:00:00,0,27777,2016-04-06 23:17:08
2016-03-26 08:49:58,MERCEDES_BENZ_C_200_T_CDI_AVANTGARDE,privat,Angebot,9600,kombi,2008,manuell,136,c_klasse,150000,8,diesel,mercedes_benz,nein,2016-03-26 00:00:00,0,14513,2016-03-26 09:41:36
2016-03-27 14:40:52,C_180_T_BlueEFFICIENCY_7G_TRONIC_Avantgarde,privat,Angebot,8000,kombi,2011,automatik,156,c_klasse,30000,8,benzin,mercedes_benz,nein,2016-03-27 00:00:00,0,10115,2016-03-27 14:40:52
2016-03-21 00:50:20,Mercedes_Benz_C_200_CDI_DPF_BlueEFFICIENCY_Elegance,privat,Angebot,9499,limousine,2008,manuell,136,c_klasse,150000,10,diesel,mercedes_benz,nein,2016-03-20 00:00:00,0,71540,2016-04-05 21:16:17
2016-03-28 19:54:32,Mercedes_Benz_C180,privat,Angebot,400,limousine,1995,automatik,85,c_klasse,125000,9,benzin,mercedes_benz,ja,2016-03-28 00:00:00,0,32547,2016-03-28 19:54:32
2016-03-16 07:55:15,Mercedes_benz_c_200_vollausstattung_2_Hand,privat,Angebot,5200,kombi,2001,automatik,163,c_klasse,125000,3,benzin,mercedes_benz,nein,2016-03-16 00:00:00,0,14772,2016-03-17 07:47:42
2016-04-01 13:42:49,Mercedes_Benz_C_180_T,privat,Angebot,750,kombi,1997,manuell,122,c_klasse,150000,7,benzin,mercedes_benz,nein,2016-04-01 00:00:00,0,17039,2016-04-03 09:18:33
2016-03-06 12:38:01,Mercedes_Benz_C_63_AMG,privat,Angebot,41900,limousine,2012,automatik,457,c_klasse,60000,7,benzin,mercedes_benz,nein,2016-03-06 00:00:00,0,67657,2016-03-21 11:46:17
2016-03-15 15:52:17,Mercedes_Benz_C_180_Kompressor_Sportcoupe,privat,Angebot,3700,coupe,2003,manuell,143,c_klasse,150000,12,benzin,mercedes_benz,nein,2016-03-15 00:00:00,0,38640,2016-04-06 08:16:04
2016-03-17 23:40:32,Mercedes_Benz_200,privat,Angebot,800,limousine,1996,manuell,122,c_klasse,150000,5,benzin,mercedes_benz,ja,2016-03-17 00:00:00,0,97775,2016-04-05 12:21:17
2016-03-31 21:37:03,Mercedes_Benz_C_220_CDI_DPF,privat,Angebot,16000,limousine,2010,manuell,170,c_klasse,90000,11,diesel,mercedes_benz,nein,2016-03-31 00:00:00,0,22159,2016-04-06 18:18:01
2016-03-24 10:50:35,Mercedes_W202_in_bestem_Zustand!,privat,Angebot,2999,limousine,2000,automatik,122,c_klasse,150000,10,benzin,mercedes_benz,nein,2016-03-24 00:00:00,0,13051,2016-04-07 01:46:57
2016-04-03 13:36:58,C_180_mit_TÜV,privat,Angebot,600,limousine,1995,manuell,122,c_klasse,150000,0,benzin,mercedes_benz,nein,2016-04-03 00:00:00,0,54518,2016-04-05 12:18:15
2016-03-21 13:56:13,Mercedes_Benz_C_220_CDI_DPF_BE__Comand__PreSafe__7G_TRONIC_Edi,privat,Angebot,21999,limousine,2013,automatik,170,c_klasse,100000,2,diesel,mercedes_benz,nein,2016-03-21 00:00:00,0,56727,2016-04-06 09:46:47
2016-03-16 15:38:57,Mercedes_Benz_C_180_CGI_BlueEFFICIENCY_Schiebedach_Avantgarde,privat,Angebot,13499,limousine,2010,manuell,156,c_klasse,100000,10,benzin,mercedes_benz,nein,2016-03-16 00:00:00,0,31319,2016-03-20 14:18:08
2016-03-25 19:47:02,Mercedes_Benz_C_160_Kompressor_Sportcoupe__8_fach_Alubereift_,privat,Angebot,7600,coupe,2006,manuell,122,c_klasse,125000,6,benzin,mercedes_benz,nein,2016-03-25 00:00:00,0,34454,2016-04-07 02:15:25
2016-03-22 17:53:32,Mercedes_C200_Kompressor_mit_wenig_Kilometern,privat,Angebot,4200,limousine,2000,manuell,163,c_klasse,100000,6,benzin,mercedes_benz,nein,2016-03-22 00:00:00,0,35394,2016-04-07 07:46:43
2016-04-03 21:57:25,Mercedes_Benz_C_220_T_CDI_AMG_Leder_AHK_Harman_Vollausstattung,privat,Angebot,14900,kombi,2009,automatik,170,c_klasse,150000,2,diesel,mercedes_benz,nein,2016-04-03 00:00:00,0,86641,2016-04-05 23:15:37
2016-03-16 08:53:55,Mercedes_C180_Limousine,privat,Angebot,550,limousine,1993,manuell,122,c_klasse,150000,10,benzin,mercedes_benz,"",2016-03-16 00:00:00,0,44143,2016-03-19 06:16:25
2016-03-07 11:06:23,Mercedes_Benz_C_230,privat,Angebot,800,limousine,1996,"",150,c_klasse,150000,8,benzin,mercedes_benz,nein,2016-03-07 00:00:00,0,64546,2016-04-06 08:15:42
2016-03-21 14:54:00,Mercedes_Benz_C_220_CDI_Avantg._Panorama_PDC_SHZ_NAVI_VOLLEDER,privat,Angebot,11900,limousine,2008,manuell,170,c_klasse,125000,9,diesel,mercedes_benz,nein,2016-03-21 00:00:00,0,45888,2016-04-06 12:15:36
2016-03-09 16:47:45,Mercedes_Benz_C_240,privat,Angebot,4500,limousine,2001,automatik,170,c_klasse,125000,7,benzin,mercedes_benz,nein,2016-03-09 00:00:00,0,67433,2016-04-07 05:46:07
2016-03-30 16:55:38,Mercedes_Kombi_C200,privat,Angebot,14430,kombi,2011,manuell,146,c_klasse,150000,2,diesel,mercedes_benz,nein,2016-03-30 00:00:00,0,45478,2016-04-03 07:15:25
2016-03-31 02:57:38,Mercedes_C200_AMG_Optik,privat,Angebot,2850,limousine,2002,manuell,180,c_klasse,150000,0,benzin,mercedes_benz,nein,2016-03-31 00:00:00,0,32049,2016-04-06 02:16:14
2016-03-09 12:57:10,Mercedes_Benz_C_200_T_Kompressor_Elegance,privat,Angebot,7400,kombi,2005,automatik,163,c_klasse,150000,10,benzin,mercedes_benz,nein,2016-03-09 00:00:00,0,63533,2016-04-06 01:47:22
2016-04-03 09:53:00,Mercedes_Classic_180_C,privat,Angebot,2200,limousine,1999,manuell,0,c_klasse,90000,0,"",mercedes_benz,"",2016-04-03 00:00:00,0,84048,2016-04-07 11:17:27
2016-03-24 20:46:45,Rentner_C180__1._Hand,privat,Angebot,950,"",2017,manuell,0,c_klasse,125000,0,benzin,mercedes_benz,"",2016-03-24 00:00:00,0,90455,2016-03-26 06:16:20
